id,nameVi,nameEn,categoryName,categoryNameEn,kcal,protein,fat,carb,vitaminC,vitaminA,calcium,iron,potassium,sodium,zinc,magnesium,fiber,cholesterol,transfat,betaCaroten
6877a6b660d6c84e9bd5ccad,"Sữa, bò, tiệt trùng, có đường, toàn phần, trắng ","Milk, cow, steralized, with sugar, whole, white",Sữa và sản phẩm chế biến,Milk and processed products,85.0,3.9,4.4,7.34,1.0,51.83,120.0,0.1,143.0,380.0,0.4,16.0,,42.0,,22.0
6877a6b660d6c84e9bd5cac4,"Gạo, trắng, nếp thường, sống","Rice, white, glutinous, raw",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,350.0,8.4,1.6,75.4,,,16.0,1.2,282.0,3.0,2.2,17.0,0.5,,,
6877a6b660d6c84e9bd5cac5,"Gạo, trắng, tẻ, giã tay, sống","Rice, white, home-milled, raw",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,347.0,8.1,1.3,75.7,,,36.0,0.2,202.0,5.0,1.9,52.0,0.7,,,
6877a6b660d6c84e9bd5ccae,"Sữa chua, nước/uống, có đường","Yougurt, drink/liquid, with sugar, whole, white",Sữa và sản phẩm chế biến,Milk and processed products,62.0,3.47,3.25,4.66,0.5,27.0,121.0,0.05,155.0,46.0,0.59,12.0,,13.0,,5.0
6877a6b660d6c84e9bd5ccaf,"Sữa chua, đặc, có đường","Yougurt, thick, with sugar, whole, white",Sữa và sản phẩm chế biến,Milk and processed products,65.0,3.3,3.7,4.66,0.7,25.92,120.0,0.1,155.0,46.0,0.59,12.0,,13.0,,11.0
6877a6b660d6c84e9bd5ccb0,"Sữa chua, đặc, không đường","Yogurt, thick, without sugar, whole, white",Sữa và sản phẩm chế biến,Milk and processed products,61.0,3.3,3.7,3.6,0.7,25.92,120.0,0.1,155.0,46.0,0.59,12.0,,13.0,,11.0
6877a6b660d6c84e9bd5cac6,"Gạo, trắng, tẻ, xát máy, sống","Rice, white, polished, raw",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,346.0,7.9,1.0,76.3,,,30.0,1.3,241.0,5.0,1.5,14.0,0.4,,,
6877a6b660d6c84e9bd5ccb1,"Sữa đặc có đường, Việt Nam",Milk condensed sweetened,Sữa và sản phẩm chế biến,Milk and processed products,328.0,7.91,8.7,54.4,2.6,74.0,284.0,0.19,371.0,127.0,0.94,26.0,,34.0,,
6877a6b660d6c84e9bd5ccb2,Sữa hộp Milo,Chocolate drink packaged ,Sữa và sản phẩm chế biến,Milk and processed products,55.0,0.92,0.55,11.54,,,21.0,0.17,99.0,73.0,0.21,12.0,,,0.1,
6877a6b660d6c84e9bd5cac7,"Gạo, tẻ, chưa xát (gạo lứt), sống","Rice, brown, raw",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,359.0,7.5,2.68,76.18,,,16.0,2.8,202.0,5.0,1.9,52.0,3.4,,,
6877a6b660d6c84e9bd5cac8,"Kê, hạt, sống","Millet, raw",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,345.0,7.0,3.0,72.4,,5.0,22.0,2.7,249.0,7.0,1.5,430.0,3.4,,,60.0
6877a6b660d6c84e9bd5cac9,"Ngô, cả bắp, tươi","Corn, whole corb, fresh",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,200.0,4.1,2.3,40.8,12.0,20.0,20.0,1.5,306.0,3.0,1.4,39.0,1.2,,,240.0
6877a6b660d6c84e9bd5cd8a,"Ngô tươi, tẻ, nướng","Corn fresh, glutinous, grilled ",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,274.0,5.62,3.15,55.89,16.44,27.4,27.4,2.05,419.18,4.11,1.92,53.42,1.64,,,328.77
6877a6b660d6c84e9bd5caca,"Ngô, vàng, hạt, khô","Corn, yellow, seed, dried",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,362.0,8.6,4.7,71.4,,10.71,30.0,2.3,287.0,35.0,2.21,127.0,2.0,,,97.0
6877a6b660d6c84e9bd5cacb,"Bánh bao, nhân thịt","Dumpling, with pork",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,276.0,10.4,10.8,34.2,,,19.0,1.5,,,,,0.5,,,
6877a6b660d6c84e9bd5cacc,Bánh đa nem,"Vietnamese rice paper, raw",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,335.0,4.0,0.2,79.4,,,20.0,0.3,,,,,0.5,,,
6877a6b660d6c84e9bd5cacd,Bánh đúc,"Rice cake made of rice flour, and lime water, cooked",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,52.0,0.9,0.3,11.4,,,50.0,0.4,,,,,0.1,,,
6877a6b660d6c84e9bd5cace,Bánh mỳ ,"Bread, French style",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,250.0,7.9,0.8,52.8,,,28.0,2.0,,,,,0.2,,,
6877a6b660d6c84e9bd5cacf,Bánh phở,"Rice noodles, raw",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,146.0,3.2,0.9,31.2,,,16.0,0.3,15.0,3.0,,,,,,
6877a6b660d6c84e9bd5cad0,Bánh quẩy,"Fried breadstick, Youtiao",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,200.0,3.7,6.8,30.8,,,,,,,,,0.7,,,
6877a6b660d6c84e9bd5cad1,Bỏng ngô,Corn flakes,Ngũ cốc và sản phẩm chế biến,Cereals and processed products,386.0,8.6,1.6,84.2,,,3.0,0.6,609.0,346.0,,334.0,3.4,,,
6877a6b660d6c84e9bd5cad2,"Bột gạo, gạo nếp thường","Rice flour, glutinous",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,365.0,8.2,1.6,79.4,,,12.0,0.8,293.07,3.12,2.29,17.67,0.6,,,
6877a6b660d6c84e9bd5cad3,"Bột gạo, gạo tẻ","Rice flour, white",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,360.0,6.6,0.4,82.6,,,24.0,1.9,76.0,,0.8,35.0,0.4,,,
6877a6b660d6c84e9bd5cad4,"Bột mì, trắng ","Wheat flour, white",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,347.0,11.0,1.1,73.2,,,29.0,2.0,186.0,4.0,2.5,173.0,0.3,,,
6877a6b660d6c84e9bd5cad5,"Bột ngô, ngô vàng","Maize flour, yellow",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,367.0,8.3,4.0,74.5,,10.71,15.0,2.1,315.0,5.0,1.73,93.0,1.5,,,97.0
6877a6b660d6c84e9bd5cad6,"Bún, tươi","Rice vermicelli, soft noodles, fresh",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,116.0,1.7,0.9,25.3,,,12.0,0.2,,,,,0.5,,,
6877a6b660d6c84e9bd5cad7,"Cốm, tươi","Rice, unriped, raw",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,307.0,4.4,1.7,68.3,,,24.0,1.0,,,,,0.6,,,
6877a6b660d6c84e9bd5cad8,"Mỳ sợi, khô","Wheat noodle, dried",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,350.0,11.0,0.9,74.5,,,34.0,1.5,,,,,0.3,,,
6877a6b660d6c84e9bd5cad9,"Ngô, cả bắp, nếp, luộc","Corn, whole corb, boiled",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,172.0,3.9,2.2,34.1,,,18.0,0.8,,,,,1.2,,,
6877a6b660d6c84e9bd5cd8b,Xôi nếp cẩm,"Rice glutinous (cooked), purple, boiled",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,235.0,5.59,1.71,49.21,,,13.82,2.3,53.95,1.32,,,3.22,,,23.68
6877a6b660d6c84e9bd5cd8c,"Ngô tươi, nếp, nướng","Corn fresh, regular, grilled",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,274.0,5.62,3.15,55.89,16.44,27.4,27.4,2.05,419.18,4.11,1.92,53.42,1.64,,,328.77
6877a6b660d6c84e9bd5cada,"Bánh mì, vuông, ngọt","Bread, square/sandwich type, sweet",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,384.0,7.89,15.79,52.63,,,,2.84,,276.0,,,2.6,39.0,,
6877a6b660d6c84e9bd5cadb,Bánh bao chay,"Dumplings, no filled",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,221.0,6.1,0.5,48.0,,,19.0,1.5,,,,,0.5,,,
6877a6b660d6c84e9bd5cadc,"Bánh đa (đỏ, trắng)","Vietnamese style rice noodles (flat), raw",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,347.0,5.28,,81.41,,,37.29,0.62,,,,,1.55,,,
6877a6b660d6c84e9bd5cd8d,"Bánh đa (đỏ, trắng), luộc","Vietnamese style rice noodles (flat), boiled",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,97.0,1.48,,22.8,,,10.44,0.17,,,,,0.44,,,
6877a6b660d6c84e9bd5cadd,"Mỳ  ăn liền, lúa mì ","Instant noodle, wheat, uncooked",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,364.0,6.7,5.9,70.9,,,16.0,1.0,83.0,2593.0,,,2.0,,,
6877a6b660d6c84e9bd5cd8e,"Mỳ ăn liền, lúa mì, luộc","Instant noodle, wheat, boiled",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,102.0,1.88,1.65,19.86,,,4.48,0.28,23.25,726.33,,,0.56,,,
6877a6b660d6c84e9bd5cade,Sợi mỳ Quảng,,Ngũ cốc và sản phẩm chế biến,Cereals and processed products,,5.32,0.27,82.23,,,,,,,,,,,,
6877a6b660d6c84e9bd5cd8f,"Nui, luộc","Macaroni, boiled",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,371.0,13.0,1.51,74.7,,,21.0,1.3,223.0,6.0,1.41,,3.2,,,
6877a6b660d6c84e9bd5ccb3,Chuối nước đường,"Banana, canned sweetened",Đồ hộp,Canned food,63.0,0.5,,15.2,9.0,,12.0,0.6,,,,,1.3,,,
6877a6b660d6c84e9bd5ccb4,Dưa chuột hộp,Cucumber (canned),Đồ hộp,Canned food,19.0,0.3,0.14,4.16,2.0,6.5,12.0,0.3,2.94,154.38,0.0,0.51,0.7,,,55.0
6877a6b660d6c84e9bd5ccb5,Dứa hộp,"Pineapple, canned sweetened",Đồ hộp,Canned food,57.0,0.3,0.06,13.84,14.0,1.92,20.0,0.3,105.0,1.0,0.12,16.0,0.2,,,23.0
6877a6b660d6c84e9bd5ccb6,Lạc chao dầu,"Peanut, oil fried",Đồ hộp,Canned food,680.0,25.7,59.5,10.3,,,,,,,,,,,,
6877a6b660d6c84e9bd5ccb7,Mắc coọc nước đường,Pyrus pachis in syrup,Đồ hộp,Canned food,58.0,0.2,,14.4,14.0,,20.0,0.4,,,,,0.7,,,
6877a6b660d6c84e9bd5ccb8,Mận nước đường,"Plum, canned sweetened",Đồ hộp,Canned food,62.0,0.3,0.1,14.9,0.4,11.54,16.0,0.86,93.0,20.0,0.08,5.0,1.8,,,127.0
6877a6b660d6c84e9bd5ccb9,Mứt bí ngô,Pumpkin jam,Đồ hộp,Canned food,201.0,0.5,,49.8,,,32.0,,,,,,0.7,,,
6877a6b660d6c84e9bd5ccba,Mứt cam có vỏ,"Orange marmalade, jellies",Đồ hộp,Canned food,227.0,0.4,,56.4,,4.17,28.0,0.26,,,,,2.2,,,50.0
6877a6b660d6c84e9bd5ccbb,Mứt chuối,Banana jam,Đồ hộp,Canned food,224.0,0.7,,55.2,,,28.0,0.3,,,,,1.3,,,
6877a6b660d6c84e9bd5ccbc,Mứt dứa,Pineapple jam,Đồ hộp,Canned food,210.0,0.5,,51.9,13.0,1.67,20.0,0.3,,,,,0.4,,,20.0
6877a6b660d6c84e9bd5ccbd,Mứt đu đủ,Papaya jam,Đồ hộp,Canned food,186.0,0.4,,46.1,,,24.0,,,,,,2.0,,,
6877a6b660d6c84e9bd5ccbe,Nhãn nước đường,"Longan, canned sweetened",Đồ hộp,Canned food,66.0,0.5,,16.0,32.0,,12.0,0.3,,,,,1.0,,,
6877a6b660d6c84e9bd5ccbf,Nước dứa hộp,Pineapple juice,Đồ hộp,Canned food,41.0,0.3,0.06,9.74,41.0,0.25,32.0,0.3,130.0,2.0,0.11,12.0,0.4,,,3.0
6877a6b660d6c84e9bd5ccc0,Vải nước đường,"Litchi, canned sweetened",Đồ hộp,Canned food,65.0,0.4,,15.8,10.0,,8.0,0.6,,,,,1.1,,,
6877a6b660d6c84e9bd5ccc1,Cá thu hộp,"Mackerel, canned",Đồ hộp,Canned food,207.0,24.8,12.0,,,,50.0,1.6,,,,,,,,
6877a6b660d6c84e9bd5ccc2,Cá trích hộp,"Herring, canned",Đồ hộp,Canned food,233.0,22.3,14.4,3.5,,28.0,86.0,2.3,,,,,,,,
6877a6b660d6c84e9bd5ccc3,Thịt bò hộp,"Beef, canned",Đồ hộp,Canned food,251.0,16.4,20.6,,,,13.0,2.9,,,,,,,,
6877a6b660d6c84e9bd5ccc4,Thịt gà hộp,"Chicken, canned",Đồ hộp,Canned food,273.0,17.0,22.8,,,520.0,108.0,2.8,,,,,,,,
6877a6b660d6c84e9bd5ccc5,Thịt lợn hộp,"Pork, canned",Đồ hộp,Canned food,344.0,17.3,29.3,2.7,,,9.0,1.2,,,,,,,,
6877a6b660d6c84e9bd5ccc6,"Thịt lợn, thịt bò xay hộp",Pork beef mince canned,Đồ hộp,Canned food,244.0,16.0,20.0,,0.8,8.0,8.0,2.1,,,,,,,,
6877a6b660d6c84e9bd5ccc7,Thịt vịt hầm,"Duck, stewed meat",Đồ hộp,Canned food,224.0,19.6,16.2,,,,,,,,,,,,,
6877a6b660d6c84e9bd5ccc8,Cá ngừ hộp,,Đồ hộp,Canned food,85.0,19.0,0.94,0.08,,17.0,18.0,1.67,176.0,219.0,0.66,,,36.0,,
6877a6b660d6c84e9bd5ccc9,Cá nục hộp,,Đồ hộp,Canned food,233.0,22.3,14.4,3.5,,28.0,86.0,2.3,,,,,,,,
6877a6b660d6c84e9bd5ccca,Bánh bích cốt,Whole wheat rusk,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",349.0,12.3,1.3,72.1,,87.25,39.0,2.7,,,,,0.8,,,13.0
6877a6b660d6c84e9bd5cccb,Bánh bích quy,"Biscuits, plain","Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",378.0,8.8,4.5,75.6,,25.25,75.2,3.6,,,,,0.5,,,75.0
6877a6b660d6c84e9bd5cccc,Bánh chả,"Small biscuit, fried","Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",399.0,3.4,6.6,81.5,,0.42,41.7,1.9,,,,,1.0,,,5.0
6877a6b660d6c84e9bd5cccd,Bánh con cá,"Small biscuits, fish figured","Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",369.0,7.5,2.2,79.8,,0.42,54.0,2.9,,,,,0.2,,,5.0
6877a6b660d6c84e9bd5ccce,Bánh đậu xanh,Mungbean cake,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",420.0,15.6,11.5,63.5,,8.75,111.0,3.4,,,,,1.1,,,105.0
6877a6b660d6c84e9bd5cccf,Bánh kem xốp,Wafers filled,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",506.0,8.3,24.0,64.2,,84.0,86.0,0.8,,,,,3.5,,,
6877a6b660d6c84e9bd5ccd0,Bánh khảo chay,"Rice cake, plain","Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",377.0,3.2,0.3,90.4,,,2.1,0.1,,,,,0.2,,,
6877a6b660d6c84e9bd5ccd1,Bánh quế,Cinnamon waffle (roll),"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",436.0,8.3,10.7,76.7,,18.25,33.1,2.0,,,,,0.3,,,75.0
6877a6b660d6c84e9bd5ccd2,Bánh sô cô la,Chocolate filled,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",449.0,3.9,17.6,68.8,,13.83,58.0,3.7,,,,,,,,10.0
6877a6b660d6c84e9bd5ccd3,Bánh thỏi sô cô la,Chocolate sweet,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",543.0,4.9,30.4,62.5,,0.17,280.0,1.5,,,,,,,,2.0
6877a6b660d6c84e9bd5ccd4,Bánh trứng nhện,Small biscuit,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",369.0,9.6,3.7,74.4,,25.75,76.4,3.9,,,,,0.2,,,105.0
6877a6b660d6c84e9bd5ccd5,Bột ca cao,Cocoa powder,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",423.0,23.3,17.0,44.2,,,128.0,13.86,1524.0,21.0,6.81,499.0,4.6,,,
6877a6b660d6c84e9bd5ccd6,Đường cát,"Sugar crude, brown","Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",383.0,1.1,,94.6,,,83.0,0.71,346.0,39.0,0.18,29.0,,,,
6877a6b660d6c84e9bd5ccd7,Đường kính,Granulated sugar,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",397.0,,,99.3,,,0.4,0.06,2.0,,,,,,,
6877a6b660d6c84e9bd5ccd8,Kẹo bơ cứng,"Toffee, sweets","Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",448.0,2.1,17.2,71.1,,,64.0,0.76,,,,,,,,
6877a6b660d6c84e9bd5ccd9,Kẹo cà phê,Coffee sweets,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",378.0,,1.3,91.5,,,,,,,,,,,,
6877a6b660d6c84e9bd5ccda,Kẹo cam chanh,"Sweets, caramel with citron, orange aroma","Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",378.0,,0.5,93.4,,,23.0,1.4,,,,,0.3,,,
6877a6b660d6c84e9bd5ccdb,Kẹo dừa mềm,Sweets with coconut aroma,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",425.0,0.6,12.2,78.1,,,15.6,0.4,,,,,2.5,,,
6877a6b660d6c84e9bd5ccdc,Kẹo dứa mềm,Pineapple sweets candy,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",425.0,0.6,12.2,78.1,,,15.6,0.4,,,,,2.5,,,
6877a6b660d6c84e9bd5ccdd,Kẹo lạc,Peanut candy,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",458.0,10.3,16.5,67.0,,,,,,,,,2.2,,,
6877a6b660d6c84e9bd5ccde,Kẹo Pastille (kẹo ngậm bạc hà),Menthol pastille,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",356.0,5.2,,83.8,,,96.0,1.6,,,,,,,,
6877a6b660d6c84e9bd5ccdf,Kẹo sô cô la,Sweets with chocolate,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",393.0,1.6,4.6,86.3,,,,,,,,,1.2,,,
6877a6b660d6c84e9bd5cce0,Kẹo sữa,Sweets with milk,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",390.0,2.9,5.2,83.0,,,,,,,,,,,,
6877a6b660d6c84e9bd5cce1,Kẹo vừng viên,Sesame candy,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",424.0,2.8,6.9,87.6,,,,,,,,,1.7,,,
6877a6b660d6c84e9bd5cce2,Mạch nha,Malt,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",331.0,0.2,,82.5,,,,,,,,,,,,
6877a6b660d6c84e9bd5cce3,Mật ong,Honey,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",327.0,0.4,,81.3,4.0,,5.0,0.9,52.0,4.0,0.22,2.0,,,,
6877a6b660d6c84e9bd5cce4,Mứt lạc,Peanut sugar (Jam),"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",433.0,5.4,8.6,83.6,,,,,,,,,0.7,,,
6877a6b660d6c84e9bd5cce5,Bánh chocopie,,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",435.3,5.51,16.53,66.12,,,,,,303.03,,,,,,
6877a6b660d6c84e9bd5cce6,Bánh sữa,,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",427.0,10.32,11.35,70.95,,,,,,,,,,,,
6877a6b660d6c84e9bd5cce7,Thạch POKE hương trái cây ,,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",253.0,,,63.16,,,,,,,,,,,,
6877a6b660d6c84e9bd5cce8,"Bim bim, gạo, mặn",,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",458.0,5.0,27.5,47.5,,,125.0,4.05,,185.0,,,2.5,18.0,,
6877a6b660d6c84e9bd5cce9,Đậu phộng da cá,,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",540.0,13.33,33.33,46.67,,,,,,,,185.0,,,,
6877a6b660d6c84e9bd5ccea,Kem ngô,,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",199.0,3.2,8.4,27.6,,96.0,120.0,0.21,188.0,60.0,0.34,,0.9,,,
6877a6b660d6c84e9bd5cceb,Kem que Merino Cacao - Sô cô la,,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",227.0,3.8,11.0,28.2,,19.0,109.0,0.93,249.0,76.0,0.58,,1.2,,,
6877a6b660d6c84e9bd5ccec,Kem đậu xanh,,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",227.0,3.8,11.0,28.2,,19.0,109.0,0.93,249.0,76.0,0.58,,1.2,,,
6877a6b660d6c84e9bd5cced,Kem tươi,,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",,335.0,2.4,35.5,,,,27.0,,,,,3.1,,,
6877a6b660d6c84e9bd5ccee,Bánh bông lan,,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",489.0,5.1,29.5,50.8,,,,,,206.0,,,,,,
6877a6b660d6c84e9bd5ccef,Bánh gấu,,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",475.7,5.41,21.62,64.86,,,,,,229.73,,,,,,
6877a6b660d6c84e9bd5ccf0,Bánh ngũ cốc cao năng lượng,,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",500.0,14.1,31.9,39.1,,,,,,,,,,,,
6877a6b660d6c84e9bd5ccf1,Bánh quy tròn nhân kem Ritz,,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",507.0,6.9,28.3,56.3,,,,,,,,,,,,
6877a6b660d6c84e9bd5ccf2,Bánh trứng Custas,,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",434.0,4.26,25.53,46.81,,,212.77,1.7,,148.94,,,,,,
6877a6b660d6c84e9bd5ccf3,Bánh gối,,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",318.0,3.7,9.1,55.42,,,18.0,,,,,,0.18,,,
6877a6b660d6c84e9bd5ccf4,Bánh rán nhân đỗ,,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",318.0,3.7,9.1,55.42,,,18.0,,,,,,0.18,,,
6877a6b660d6c84e9bd5ccf5,Bánh tiêu,,"Đồ ngọt (đường, bánh, mứt, kẹo)","Sweets (sugar, cakes, jams, candies)",318.0,3.7,9.1,55.42,,,18.0,,,,,,0.18,,,
6877a6b660d6c84e9bd5ccf6,Cary bột,Cari powder ,"Gia vị, nước chấm","Spices, sauces",318.0,8.2,7.3,54.9,,31.67,906.0,,,,,,8.9,,,380.0
6877a6b660d6c84e9bd5ccf7,Gừng khô (bột),Ginger root dried,"Gia vị, nước chấm","Spices, sauces",346.0,7.6,2.9,74.5,7.0,7.33,180.0,11.52,1343.0,32.0,4.72,184.0,12.5,,,88.0
6877a6b660d6c84e9bd5ccf8,Gừng tươi,Ginger root fresh,"Gia vị, nước chấm","Spices, sauces",41.0,0.4,0.51,8.59,5.3,,60.0,2.5,316.0,7.0,0.34,43.0,3.3,,,
6877a6b660d6c84e9bd5ccf9,Hạt tiêu,Pepper black seeds,"Gia vị, nước chấm","Spices, sauces",365.0,7.0,7.4,67.6,,15.0,732.0,4.6,1259.0,44.0,0.3,19.0,33.5,,,156.0
